X,Y,Z,Activity
1933,2373,2093,5
1935,2359,2094,5
1944,2345,2091,5
1960,2344,2084,5
1956,2325,2064,5
1953,2310,2051,5
1954,2275,2042,5
1943,2244,2042,5
1946,2248,2051,5
1931,2257,2057,5
1918,2276,2052,5
1916,2291,2033,5
1915,2320,2026,5
1903,2323,2007,5
1905,2346,1996,5
1908,2352,1979,5
1929,2368,1973,5
1929,2401,2003,5
1921,2423,2022,5
1913,2446,2039,5
1905,2480,2081,5
1911,2545,2152,5
1959,2627,2194,5
1942,2624,2191,5
1901,2591,2177,5
1841,2505,2167,5
1801,2459,2172,5
1828,2373,2157,5
1856,2333,2179,5
1867,2301,2209,5
1867,2307,2199,5
1864,2312,2183,5
1860,2322,2163,5
1852,2325,2158,5
1849,2326,2162,5
1856,2315,2162,5
1859,2311,2158,5
1883,2318,2157,5
1865,2325,2155,5
1849,2331,2134,5
1849,2320,2099,5
1859,2311,2077,5
1859,2304,2075,5
1871,2295,2080,5
1879,2299,2098,5
1892,2296,2109,5
1910,2289,2122,5
1927,2296,2098,5
1947,2295,2072,5
1948,2299,2064,5
1915,2313,2090,5
1897,2335,2113,5
1879,2373,2104,5
1860,2434,2081,5
1841,2480,2046,5
1838,2500,2074,5
1842,2526,2151,5
1862,2554,2171,5
1873,2594,2157,5
1887,2582,2166,5
1902,2535,2194,5
1921,2481,2210,5
1982,2401,2219,5
2030,2340,2234,5
2055,2306,2228,5
2041,2308,2226,5
2035,2320,2224,5
2007,2345,2174,5
1990,2362,2125,5
1983,2360,2086,5
1961,2353,2085,5
1966,2342,2089,5
1972,2325,2084,5
1986,2318,2082,5
1987,2305,2081,5
1982,2296,2060,5
1953,2251,2045,5
1931,2215,2061,5
1909,2236,2091,5
1902,2265,2084,5
1905,2281,2058,5
1912,2304,2055,5
1913,2335,2044,5
1925,2376,2032,5
1955,2408,2021,5
1959,2434,2034,5
1945,2451,2077,5
1945,2479,2126,5
1954,2589,2214,5
1986,2654,2262,5
1943,2613,2231,5
1903,2551,2210,5
1886,2478,2199,5
1885,2419,2211,5
1881,2363,2221,5
1859,2331,2230,5
1865,2321,2203,5
1881,2320,2175,5
1890,2306,2142,5
1885,2288,2120,5
1854,2279,2105,5
1859,2265,2136,5
1851,2265,2169,5
1846,2292,2158,5
1859,2311,2100,5
1869,2294,2053,5
1876,2282,2054,5
1886,2282,2077,5
1903,2283,2113,5
1914,2282,2127,5
1920,2278,2127,5
1933,2293,2117,5
1947,2319,2109,5
1932,2340,2092,5
1913,2361,2087,5
1884,2375,2099,5
1874,2398,2109,5
1849,2433,2114,5
1845,2465,2099,5
1836,2479,2082,5
1824,2516,2140,5
1828,2550,2209,5
1875,2574,2224,5
1907,2570,2167,5
1913,2516,2159,5
1923,2447,2243,5
1992,2378,2262,5
2028,2320,2218,5
2038,2304,2208,5
2043,2311,2193,5
2028,2320,2195,5
1991,2338,2149,5
1985,2343,2085,5
1967,2347,2071,5
1959,2338,2077,5
1950,2321,2071,5
1954,2304,2066,5
1955,2289,2073,5
1960,2282,2074,5
1957,2262,2073,5
1944,2240,2075,5
1932,2267,2074,5
1924,2281,2082,5
1929,2315,2076,5
1935,2339,2073,5
1936,2351,2055,5
1947,2385,2036,5
1961,2395,2026,5
1985,2427,2014,5
1974,2432,2027,5
1966,2474,2080,5
1957,2532,2148,5
1920,2537,2099,5
1920,2533,2097,5
1922,2516,2100,5
1927,2439,2115,5
1939,2377,2165,5
1933,2333,2190,5
1921,2326,2187,5
1921,2320,2183,5
1932,2317,2174,5
1923,2314,2135,5
1948,2316,2129,5
1940,2326,2131,5
1896,2342,2131,5
1872,2367,2085,5
1886,2322,2027,5
1896,2297,2019,5
1911,2265,2064,5
1918,2258,2096,5
1931,2256,2092,5
1926,2256,2084,5
1921,2272,2099,5
1913,2297,2118,5
1920,2332,2115,5
1911,2381,2083,5
1891,2409,2070,5
1867,2431,2097,5
1848,2442,2104,5
1840,2466,2115,5
1850,2483,2144,5
1840,2511,2215,5
1877,2546,2220,5
1899,2557,2210,5
1918,2513,2180,5
1912,2455,2218,5
1954,2392,2218,5
2011,2343,2235,5
2039,2305,2211,5
2049,2298,2182,5
2026,2315,2168,5
1999,2332,2151,5
1978,2339,2118,5
1966,2350,2082,5
1956,2354,2071,5
1953,2353,2068,5
1946,2331,2068,5
1956,2325,2081,5
1972,2295,2081,5
1980,2280,2071,5
1952,2275,2076,5
1941,2286,2087,5
1931,2289,2094,5
1945,2291,2095,5
1943,2310,2085,5
1931,2320,2067,5
1945,2345,2054,5
1978,2367,2046,5
1991,2412,2053,5
1983,2452,2051,5
1982,2492,2074,5
1991,2583,2143,5
1985,2636,2225,5
1962,2603,2199,5
1928,2534,2163,5
1903,2442,2150,5
1917,2369,2171,5
1925,2316,2187,5
1919,2291,2206,5
1921,2297,2217,5
1927,2315,2203,5
1935,2328,2174,5
1949,2339,2165,5
1951,2337,2132,5
1921,2331,2132,5
1874,2350,2147,5
1819,2370,2142,5
1834,2358,2083,5
1860,2339,2026,5
1876,2326,2023,5
1895,2309,2048,5
1925,2301,2082,5
1941,2306,2099,5
1970,2300,2088,5
1973,2299,2103,5
1940,2309,2135,5
1890,2325,2134,5
1871,2336,2128,5
1844,2362,2115,5
1840,2386,2109,5
1832,2433,2123,5
1822,2475,2131,5
1799,2508,2187,5
1841,2571,2175,5
1893,2592,2177,5
1907,2537,2145,5
1916,2467,2180,5
1962,2392,2194,5
2005,2339,2220,5
2026,2302,2210,5
2025,2306,2191,5
2010,2300,2172,5
1996,2318,2153,5
1975,2335,2137,5
1967,2345,2103,5
1962,2367,2098,5
1965,2372,2087,5
1970,2365,2078,5
1967,2358,2065,5
1969,2337,2063,5
1962,2321,2074,5
1963,2310,2071,5
1946,2278,2074,5
1927,2270,2081,5
1921,2291,2070,5
1912,2299,2058,5
1919,2319,2074,5
1921,2333,2052,5
1927,2364,2042,5
1931,2364,2026,5
1938,2369,2028,5
1928,2376,2024,5
1928,2383,2046,5
1927,2391,2044,5
1913,2405,2048,5
1932,2423,2075,5
1939,2481,2106,5
1946,2532,2123,5
1949,2581,2090,5
1923,2607,2063,5
1894,2585,2087,5
1882,2537,2119,5
1867,2481,2126,5
1847,2420,2119,5
1854,2350,2134,5
1876,2287,2156,5
1893,2278,2195,5
1872,2301,2168,5
1845,2309,2125,5
1844,2304,2166,5
1878,2317,2147,5
1881,2321,2114,5
1886,2321,2115,5
1886,2320,2113,5
1903,2300,2122,5
1934,2281,2150,5
1947,2287,2115,5
1926,2297,2081,5
1894,2304,2084,5
1878,2304,2087,5
1883,2300,2100,5
1886,2311,2102,5
1906,2322,2094,5
1914,2353,2081,5
1910,2356,2083,5
1884,2361,2081,5
1890,2373,2095,5
1863,2366,2063,5
1867,2355,2066,5
1851,2339,2064,5
1841,2342,2060,5
1830,2340,2064,5
1827,2351,2060,5
1810,2364,2058,5
1807,2383,2067,5
1815,2415,2078,5
1818,2424,2098,5
1803,2453,2099,5
1768,2503,2122,5
1772,2539,2148,5
1837,2561,2157,5
1851,2541,2162,5
1915,2349,2121,5
1916,2347,2121,5
1915,2346,2122,5
1915,2347,2122,5
1913,2347,2124,5
1913,2349,2124,5
1913,2350,2123,5
1922,2350,2106,5
1901,2337,2106,5
1881,2324,2121,5
1865,2302,2126,5
1853,2286,2112,5
1854,2282,2090,5
1859,2301,2093,5
1853,2332,2107,5
1868,2335,2118,5
1888,2339,2110,5
1910,2341,2091,5
1919,2342,2080,5
1924,2335,2082,5
1907,2346,2076,5
1907,2341,2086,5
1903,2339,2073,5
1897,2346,2055,5
1895,2361,2045,5
1899,2371,2044,5
1921,2389,2043,5
1921,2413,2055,5
1931,2451,2090,5
1963,2529,2127,5
1995,2587,2180,5
1966,2596,2195,5
1949,2559,2155,5
1931,2465,2135,5
1928,2386,2128,5
1926,2356,2159,5
1911,2341,2209,5
1895,2338,2226,5
1909,2332,2192,5
1936,2325,2155,5
1937,2327,2143,5
1904,2349,2158,5
1861,2366,2153,5
1854,2354,2097,5
1876,2335,2055,5
1893,2310,2074,5
1903,2295,2105,5
1892,2295,2101,5
1894,2294,2088,5
1883,2302,2092,5
1892,2299,2087,5
1911,2309,2090,5
1925,2315,2097,5
1921,2321,2097,5
1912,2333,2086,5
1902,2338,2083,5
1905,2346,2083,5
1894,2335,2058,5
1870,2331,2072,5
1862,2323,2069,5
1860,2331,2073,5
1878,2331,2086,5
1867,2362,2088,5
1846,2391,2090,5
1858,2452,2094,5
1862,2501,2097,5
1854,2552,2098,5
1816,2580,2134,5
1811,2620,2154,5
1861,2606,2131,5
1913,2538,2092,5
1898,2467,2145,5
1914,2404,2170,5
1942,2358,2179,5
1974,2326,2186,5
1968,2309,2198,5
1959,2309,2214,5
1958,2323,2178,5
1946,2341,2124,5
1931,2343,2104,5
1923,2353,2097,5
1938,2341,2086,5
1944,2329,2094,5
1957,2325,2094,5
1960,2325,2101,5
1970,2322,2097,5
1975,2322,2092,5
1971,2337,2081,5
1979,2340,2065,5
1972,2347,2051,5
1961,2357,2034,5
1963,2363,2033,5
1952,2355,2026,5
1942,2348,2034,5
1924,2317,2051,5
1923,2294,2055,5
1919,2328,2023,5
1915,2346,1987,5
1915,2345,1999,5
1929,2331,2050,5
1922,2339,2022,5
1922,2367,2028,5
1905,2375,1999,5
1908,2399,2011,5
1900,2386,2013,5
1891,2373,2012,5
1888,2378,2029,5
1889,2389,2062,5
1911,2463,2128,5
1942,2516,2136,5
1941,2555,2132,5
1906,2558,2144,5
1878,2547,2156,5
1858,2530,2154,5
1890,2493,2151,5
1881,2444,2156,5
1881,2383,2163,5
1869,2341,2179,5
1871,2312,2193,5
1878,2305,2195,5
1879,2313,2160,5
1875,2330,2146,5
1866,2317,2146,5
1850,2319,2154,5
1870,2318,2176,5
1865,2333,2166,5
1873,2338,2139,5
1867,2338,2090,5
1881,2325,2069,5
1874,2309,2108,5
1868,2301,2115,5
1871,2301,2118,5
1876,2318,2113,5
1884,2327,2111,5
1894,2337,2104,5
1898,2349,2106,5
1905,2345,2108,5
1903,2354,2087,5
1894,2347,2075,5
1886,2344,2075,5
1874,2332,2050,5
1875,2333,2064,5
1858,2320,2072,5
1838,2345,2076,5
1846,2374,2071,5
1841,2390,2056,5
1833,2431,2043,5
1808,2485,2056,5
1791,2539,2130,5
1804,2584,2147,5
1814,2619,2134,5
1850,2575,2143,5
1884,2515,2180,5
1950,2462,2205,5
1998,2392,2172,5
2027,2343,2163,5
2048,2307,2171,5
2045,2306,2171,5
1995,2322,2166,5
1964,2327,2125,5
1953,2345,2076,5
1960,2343,2059,5
1965,2325,2074,5
1957,2322,2074,5
1972,2326,2067,5
1975,2336,2064,5
1979,2335,2055,5
1963,2324,2044,5
1939,2294,2045,5
1932,2287,2070,5
1953,2511,2074,5
1953,2510,2077,5
1953,2509,2081,5
1953,2509,2081,5
1956,2510,2081,5
1960,2520,2132,5
1979,2559,2196,5
1986,2589,2202,5
1951,2525,2160,5
1915,2417,2179,5
1925,2342,2199,5
1938,2351,2226,5
1940,2361,2239,5
1930,2357,2189,5
1931,2359,2127,5
1929,2348,2103,5
1941,2337,2118,5
1937,2331,2120,5
1908,2320,2082,5
1876,2319,2040,5
1881,2287,2046,5
1894,2282,2082,5
1902,2278,2091,5
1916,2278,2071,5
1928,2282,2056,5
1935,2281,2092,5
1935,2282,2093,5
1935,2317,2108,5
1920,2348,2099,5
1907,2384,2087,5
1899,2426,2110,5
1868,2454,2125,5
1850,2482,2122,5
1846,2516,2136,5
1838,2558,2152,5
1858,2572,2201,5
1910,2562,2211,5
1929,2519,2171,5
1935,2447,2170,5
1970,2383,2189,5
2009,2333,2203,5
2041,2303,2210,5
2043,2301,2193,5
1989,2308,2155,5
1938,2328,2126,5
1952,2321,2113,5
1954,2321,2097,5
1965,2307,2093,5
1968,2308,2088,5
1973,2313,2087,5
1959,2313,2077,5
1941,2293,2073,5
1928,2270,2085,5
1932,2282,2086,5
1928,2287,2094,5
1931,2311,2088,5
1937,2327,2070,5
1937,2347,2066,5
1949,2358,2055,5
1955,2372,2043,5
1963,2412,2027,5
1954,2435,2024,5
1951,2450,2039,5
1953,2491,2087,5
1929,2531,2182,5
1945,2557,2215,5
1946,2561,2133,5
1913,2511,2104,5
1895,2455,2118,5
1887,2415,2142,5
1883,2377,2170,5
1875,2343,2169,5
1876,2335,2160,5
1902,2326,2162,5
1924,2312,2151,5
1924,2318,2142,5
1940,2331,2143,5
1919,2339,2144,5
1895,2356,2125,5
1872,2363,2073,5
1866,2347,2017,5
1867,2325,2016,5
1873,2299,2051,5
1881,2294,2076,5
1892,2287,2063,5
1901,2296,2053,5
1911,2309,2052,5
1927,2313,2071,5
1914,2331,2068,5
1909,2337,2054,5
1913,2345,2054,5
1911,2344,2070,5
1899,2365,2083,5
1891,2387,2090,5
1881,2422,2075,5
1865,2458,2065,5
1838,2484,2070,5
1842,2499,2140,5
1883,2509,2167,5
1908,2536,2170,5
1925,2540,2147,5
1925,2502,2179,5
1962,2470,2196,5
2022,2427,2183,5
2048,2383,2198,5
2071,2355,2162,5
2060,2349,2152,5
2022,2348,2134,5
2000,2348,2114,5
1993,2349,2098,5
1991,2344,2085,5
1988,2331,2075,5
1979,2325,2070,5
1971,2323,2071,5
1968,2310,2069,5
1969,2303,2064,5
1977,2306,2055,5
1965,2291,2054,5
1952,2288,2044,5
1949,2289,2044,5
1939,2310,2056,5
1929,2328,2067,5
1951,2346,2063,5
1960,2366,2053,5
1961,2382,2042,5
1959,2377,2027,5
1958,2391,2018,5
1964,2394,2017,5
1961,2390,2039,5
1955,2408,2062,5
1953,2426,2077,5
1966,2490,2115,5
1977,2570,2174,5
1986,2599,2165,5
1983,2572,2108,5
1943,2519,2085,5
1910,2479,2113,5
1893,2423,2157,5
1906,2369,2167,5
1911,2353,2154,5
1913,2338,2166,5
1914,2331,2163,5
1923,2322,2158,5
1928,2328,2152,5
1939,2338,2158,5
1937,2343,2138,5
1917,2365,2119,5
1896,2358,2075,5
1906,2340,2041,5
1908,2316,2033,5
1910,2279,2039,5
1904,2271,2050,5
1903,2254,2061,5
1900,2241,2064,5
1892,2245,2068,5
1898,2259,2070,5
1901,2284,2076,5
1906,2312,2085,5
1894,2344,2086,5
1884,2373,2075,5
1863,2415,2079,5
1851,2442,2087,5
1846,2453,2089,5
1842,2470,2131,5
1840,2474,2129,5
1829,2522,2164,5
1847,2573,2225,5
1879,2579,2224,5
1909,2574,2165,5
1917,2500,2140,5
2001,2323,2179,5
2001,2322,2179,5
1995,2312,2183,5
1988,2318,2186,5
1953,2338,2177,5
1936,2352,2134,5
1930,2362,2096,5
1937,2352,2071,5
1944,2352,2063,5
1954,2349,2065,5
1953,2316,2067,5
1937,2286,2057,5
1932,2275,2056,5
1929,2258,2060,5
1918,2267,2060,5
1931,2276,2065,5
1942,2287,2065,5
1955,2317,2074,5
1947,2337,2069,5
1941,2366,2050,5
1941,2405,2036,5
1951,2421,2026,5
1957,2443,2045,5
1950,2461,2074,5
1942,2507,2125,5
1952,2572,2199,5
1955,2591,2227,5
1927,2541,2156,5
1887,2475,2147,5
1867,2378,2157,5
1869,2336,2163,5
1885,2323,2200,5
1907,2323,2226,5
1915,2307,2190,5
1951,2338,2146,5
1937,2332,2149,5
1898,2337,2167,5
1858,2371,2165,5
1827,2378,2080,5
1840,2333,2002,5
1885,2301,2012,5
1892,2285,2084,5
1900,2272,2093,5
1906,2270,2084,5
1909,2268,2092,5
1915,2281,2086,5
1907,2293,2084,5
1915,2300,2081,5
1899,2309,2093,5
1879,2322,2109,5
1868,2335,2098,5
1859,2363,2114,5
1847,2393,2091,5
1854,2427,2114,5
1849,2453,2101,5
1820,2497,2088,5
1801,2567,2148,5
1796,2604,2156,5
1843,2584,2127,5
1849,2538,2099,5
1846,2457,2140,5
1903,2387,2187,5
1948,2327,2195,5
1965,2295,2202,5
1959,2280,2183,5
1946,2291,2164,5
1928,2319,2140,5
1899,2309,2093,5
